Ownership Name,DBA Name,Street Address,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail City,Mail State,NAICS Code,NAICS Code Description,LIC Code,LIC Code Description
Gil Pedro & Jose,Casa Guadalupe #3,2999 Mission St,09/01/2007,07/29/2021,11/15/2007,07/29/2021,NA,NA,4400-4599,Retail Trade,H07 Pos01 Wm18 Wm30,Multiple
"Best Buy Stores, L.p.",Best Buy Stores Lp,1717 Harrison St,03/01/2002,NA,10/01/2004,NA,Minneapolis,MN,4400-4599,Retail Trade,H03,"Retail Mkts W/o Prep (Under 5,001)"
Ross Dress For Less Inc,Ross Dress For Less 385,2300 16th St Ste 265,01/01/2005,NA,01/01/2005,NA,Dublin,CA,4400-4599,Retail Trade,H03 Pos01,Multiple
Casa Thai Market Inc,Casa Thai Market,3020 16th St,07/01/2005,09/15/2020,07/01/2005,09/15/2020,NA,NA,4400-4599,Retail Trade,H07 H73 Wm18,Multiple
Lai Hung Dat,Sun Fat Seafood Co.,2687 Mission St,02/28/2003,NA,02/28/2003,NA,San Francisco,CA,4400-4599,Retail Trade,H07 Wm18,Multiple
Alghaithi Akrum Abdo N,Ggp Market,2948 24th St,07/15/2002,NA,07/15/2002,NA,San Francisco,CA,4400-4599,Retail Trade,H07 H31 H73,Multiple
Mosleh Hamood,All Season Market,401 Capp St,07/10/2002,NA,07/10/2002,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H73,Multiple
Jasmine Rae Bakery Inc,Jasmine Rae Bakery,1890 Bryant St Ste 309,03/01/2006,NA,03/01/2006,NA,San Francisco,CA,7220-7229,Food Services,H88,Retail Bakeries With Food Prep
Elias Carmen,Bakery La Mejor,3329 24th St,03/16/2009,NA,03/16/2009,NA,San Francisco,CA,7220-7229,Food Services,H88,Retail Bakeries With Food Prep
Ibrahim Assad M,E And M Market,399 Valencia St,03/05/2005,NA,03/05/2005,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73 Pos01,Multiple
Lopez Lima Angeles,De Todo Un Poco,3056 24th St,02/01/2008,NA,02/01/2008,NA,San Francisco,CA,4400-4599,Retail Trade,H03,"Retail Mkts W/o Prep (Under 5,001)"
Ng & Luo Enterprises Inc,Ng & Luo Enterprise Inc,3055 16th St,07/01/2006,NA,07/01/2006,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Malak Suheil,Golden Eagle Market,896 Valencia St,09/25/2006,NA,07/19/2015,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Malak Suheil,F&g Market,3698 20th St,09/25/2006,NA,07/19/2015,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Lou Alvin T,Lo-Cost Meat Market #2,2918 24th St,02/27/2007,NA,10/07/2010,NA,San Francisco,CA,4400-4599,Retail Trade,H07 Wm18,Multiple
Jada Rimon & Sana,R Image Market,2896 Folsom St #98,10/31/2007,NA,10/31/2007,NA,San Francisco,CA,4400-4599,Retail Trade,H07 H31 H73,Multiple
Tan James,Tokyo Futons,924 Valencia St,12/18/2006,NA,01/01/2012,NA,San Francisco,CA,4400-4599,Retail Trade,H03,"Retail Mkts W/o Prep (Under 5,001)"
Daiso California Llc,Daiso Japan,2300 16th St 285,07/12/2009,NA,12/10/2015,11/30/2020,Hayward,CA,4400-4599,Retail Trade,H04 Pos01,Multiple
El Tomate Inc,Pedritos,3254 23rd St,08/01/2011,NA,08/03/2015,NA,San Francisco,CA,7220-7229,Food Services,H07 H31 H73,Multiple
Mi Tierra Food Inc,Mi Tierra Market,2023 Mission St,08/03/2011,NA,08/03/2011,NA,San Francisco,CA,4400-4599,Retail Trade,H07 Wm18,Multiple
Us Hispanic Venture Inc,Milagros De Mexico,2400 Mission St,04/04/2011,NA,04/04/2011,NA,San Francisco,CA,4400-4599,Retail Trade,H03 Pos01,Multiple
Abu-Nie Omar J,Mission Grocerteria,2950 23rd St,06/01/2012,NA,06/01/2012,NA,San Francisco,CA,4400-4599,Retail Trade,H07 H31 H73,Multiple
Fong Leona/fong Evelyn,Five Markets,2824 24th St,01/31/2013,07/16/2021,01/31/2013,07/16/2021,NA,NA,4400-4599,Retail Trade,H07 Pos01 Wm30,Multiple
